#,Question,Answer
1,I'm in Year 12 in Queensland right now. What's the minimum ATAR I need to get into the BIT at UQ?,"The minimum entry score for the Bachelor of Information Technology for Semester 1, 2026 was 81.9, with a median of 87.4 and a highest of 95.45. Meeting the minimum does not guarantee admission, and entry scores are reviewed annually, so check study.uq.edu.au for the latest figures."
2,Do I need to study any specific subjects in Year 12 to get into the BIT?,"Yes, the BIT has prerequisite subject requirements, including a mathematics subject. You should confirm the exact prerequisites at study.uq.edu.au or contact UQ Admissions to ensure your subject selection meets the requirements."
3,I finished Year 12 in Victoria last year. Do I still apply through QTAC for the BIT?,"Yes, interstate students apply for the BIT through QTAC at qtac.edu.au, and your Victorian Year 12 results will be converted to an equivalent entry score. The QTAC code for the Bachelor of Information Technology is 733001."
4,What is the QTAC code I need to use when applying for the BIT as a domestic student?,The QTAC code for the Bachelor of Information Technology at UQ is 733001.
5,"If my ATAR is just above 81.9, am I guaranteed a spot in the BIT?","No, meeting the minimum entry score of 81.9 does not guarantee admission. Places are competitive and offers depend on the number of applicants and available spots, so a higher score improves your chances."
6,I'm applying for the BBusMgt/IT dual degree. What's the minimum entry score I need?,"The minimum entry score for the Bachelor of Business Management / Information Technology for Semester 1, 2026 is 86.4. Check study.uq.edu.au for the most current information as scores are reviewed annually."
7,What's the minimum ATAR for the BCom/IT dual degree compared to the standalone BIT?,"For Semester 1, 2026, the minimum entry score for the BCom/IT was 84.4, which is higher than the standalone BIT minimum of 81.9. Entry scores are reviewed annually, so confirm the latest figures at study.uq.edu.au."
8,I want to do the BE(Hons)/IT dual degree. What ATAR do I need as a domestic student?,"The minimum entry score for the Bachelor of Engineering (Honours) / Information Technology for Semester 1, 2026 is 84. Entry scores are reviewed annually, so check study.uq.edu.au for the most current information."
9,Can I apply for the BIT if I did a TAFE qualification instead of Year 12?,"UQ may accept certain TAFE qualifications as alternative entry pathways, but specific eligibility depends on the qualification. You should contact UQ Admissions or check study.uq.edu.au to confirm whether your TAFE qualification meets the entry requirements."
10,Is there a way to get into the BIT if my ATAR is lower than the minimum entry score?,"UQ offers some alternative entry pathways, such as UQ College programs or performance-based entry options, that may allow entry without meeting the standard ATAR minimum. Check study.uq.edu.au for details on available pathways."
11,"When does Semester 1, 2026 actually start if I get into the BIT?","Semester 1, 2026 commences on 23 February 2026."
12,"If I miss out on Semester 1, can I start the BIT in Semester 2 instead?","Yes, the Bachelor of Information Technology is available for both Semester 1 and Semester 2 intakes. Semester 2, 2026 commences on 27 July 2026."
13,Do I need to sit any entrance exam or test to apply for the BIT as a domestic student?,Domestic students apply based on their ATAR or equivalent entry score through QTAC; there is no separate entrance exam required for the standard BIT application. Check study.uq.edu.au to confirm if any additional requirements apply to your specific situation.
14,I'm a domestic student who graduated from high school a few years ago. Can I still apply for the BIT?,"Yes, domestic applicants who completed Year 12 in a previous year can still apply through QTAC using their existing ATAR or equivalent entry score. You should confirm with QTAC or UQ Admissions whether any time-based conditions apply to your results."
15,Does UQ look at anything other than my ATAR when assessing my BIT application?,"Your entry score is the primary basis for domestic selection through QTAC, but prerequisite subject requirements must also be met. For specific circumstances, check study.uq.edu.au or contact UQ Admissions for guidance."
16,I live in regional Queensland. Is there any special consideration for my BIT application?,"QTAC offers adjustment factors that may apply to students from regional or disadvantaged backgrounds, which could improve your effective entry score for BIT. You should check qtac.edu.au for details on what adjustment factors you may be eligible for."
17,What's the difference in minimum entry scores between the BIT and the BIT/Arts dual degree?,"The minimum entry score for the standalone BIT is 81.9 for Semester 1, 2026. For the BIT/Arts dual degree minimum entry score, check study.uq.edu.au as scores are reviewed annually and vary by program."
18,"I'm applying through QTAC — when should I submit my application to be considered for Semester 1, 2026?","QTAC has specific application opening and closing dates for each intake. You should check qtac.edu.au for the exact deadlines to ensure your application is considered for Semester 1, 2026."
19,Does UQ accept the International Baccalaureate (IB) for domestic entry into the BIT?,"Yes, UQ accepts the International Baccalaureate as a qualification for domestic entry, and your IB results will be converted to an equivalent entry score through QTAC. Confirm that your subject choices also satisfy the BIT prerequisite requirements."
20,I'm currently in Year 11. Should I be thinking about subject choices now if I want to do BIT at UQ?,"Yes, it is worth planning now because the BIT has mathematics prerequisite requirements that you need to satisfy in Year 12. Check study.uq.edu.au for the specific subject prerequisites so you can select the right subjects for Year 12."
21,I'm in Year 12 in Queensland right now. What's the minimum ATAR I need to get into the BIT?,"The minimum entry score for the Bachelor of Information Technology for Semester 1, 2026 was 81.9, with a median of 87.4 and a highest of 95.45. Meeting the minimum does not guarantee admission, so entry scores are reviewed annually — check study.uq.edu.au for the latest figures."
22,Do I need any specific high school subjects to apply for the BIT as a domestic student?,"Yes, the BIT has prerequisite subject requirements for domestic applicants. You should confirm the exact prerequisites through QTAC or study.uq.edu.au, as subject requirements can vary and are reviewed annually."
23,What's the QTAC code I need to use when applying for the standalone BIT?,The QTAC code for the Bachelor of Information Technology at UQ is 733001. You apply through QTAC at qtac.edu.au.
24,"If I live in New South Wales, do I still apply through QTAC for the BIT?","Yes. Interstate students, including those from New South Wales, apply for the BIT through QTAC. Your Year 12 results will be converted to an equivalent entry score for comparison."
25,What's the minimum entry score for the BBusMgt/IT dual degree?,"The minimum entry score for the Bachelor of Business Management / Information Technology dual degree is 86.4 for Semester 1, 2026. Entry scores are reviewed annually, so check study.uq.edu.au for current figures."
26,I'm considering the BCom/IT dual degree — what ATAR do I need?,"The minimum entry score for the Bachelor of Commerce / Information Technology dual degree for Semester 1, 2026 is 84.4. As scores are reviewed annually, confirm the latest at study.uq.edu.au."
27,What's the minimum entry score for the BE(Hons)/IT dual degree for domestic students?,"The minimum entry score for the Bachelor of Engineering (Honours) / Information Technology dual degree is 84 for Semester 1, 2026. Entry scores are reviewed annually."
